id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
97945,Rental unit in Munich · ★4.84 · 1 bedroom · 1 bed · 1 bath,517685,Angelika,,Hadern,48.11492,11.48954,Entire home/apt,80,2,129,2019-10-03,0.90,2,173,0,
114695,Rental unit in Munich · ★4.78 · 1 bedroom · 3 beds · 1 bath,581737,Stephan,,Berg am Laim,48.12071,11.63758,Entire home/apt,100,2,56,2023-05-26,0.38,2,103,2,
127383,Rental unit in Munich · ★4.85 · 1 bedroom · 1 bed · 1 bath,630556,Sonja,,Maxvorstadt,48.15199,11.56482,Entire home/apt,120,3,107,2022-06-14,0.73,1,2,0,
159634,Rental unit in Munich · ★4.62 · 1 bedroom · 1 bed · 1 bath,765694,Susana,,Pasing-Obermenzing,48.13855,11.46586,Entire home/apt,60,2,38,2022-12-15,0.26,1,1,4,
170154,Home in Munich · ★4.95 · 2 bedrooms · 2 beds · 1 private bath,108297,Alex,,Sendling-Westpark,48.10814,11.52733,Private room,70,3,532,2023-06-20,3.72,1,165,22,
170815,Rental unit in Munich · ★4.53 · 1 bedroom · 1 bed · 1 bath,814793,Inge,,Neuhausen-Nymphenburg,48.16071,11.54314,Entire home/apt,65,3,64,2020-02-18,0.44,1,0,0,
172672,Rental unit in Munich · ★4.88 · 1 bedroom · 1 bed · 1.5 shared baths,823913,Karin,,Schwabing-West,48.16341,11.56366,Private room,49,1,224,2022-05-22,2.01,2,0,0,
172977,Rental unit in Munich · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,825767,Daniela,,Maxvorstadt,48.14957,11.55507,Private room,96,2,95,2023-06-20,0.70,1,79,6,
179640,Condo in Munich · ★4.74 · 1 bedroom · 1 bed · Shared half-bath,860212,Ingrid,,Bogenhausen,48.14453,11.63769,Private room,35,2,50,2020-02-29,0.35,1,157,0,
183634,Ice dome in Munich · 1 bedroom · 1 bed · 1.5 shared baths,880705,Toby,,Allach-Untermenzing,48.17532,11.44526,Shared room,50,1,1,2022-09-25,0.11,1,362,1,
186596,Rental unit in Munich · ★4.65 · 1 bedroom · 3 beds · 1 shared bath,910486,Hatice,,Au-Haidhausen,48.12008,11.57725,Shared room,82,1,163,2020-01-02,1.20,2,44,0,
187359,Rental unit in Munich · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,901209,Christian,,Neuhausen-Nymphenburg,48.15638,11.53935,Private room,48,2,42,2023-06-11,0.29,1,29,10,
187386,Rental unit in Munich · ★4.76 · 1 bedroom · 2 beds · 1 shared bath,901512,Janine,,Berg am Laim,48.12031,11.62787,Private room,59,2,17,2022-08-28,0.12,2,167,1,
189551,Loft in Munich · ★4.79 · 2 bedrooms · 4 beds · 1.5 baths,914449,Peter,,Schwanthalerhöhe,48.13592,11.54427,Entire home/apt,283,3,387,2023-06-24,2.76,2,274,27,
189582,Rental unit in Munich · ★4.62 · 1 bedroom · 1 bed · 1 private bath,914564,Christiane,,Bogenhausen,48.15556,11.64903,Private room,25,30,14,2022-07-31,0.11,1,0,1,
189606,Rental unit in Munich · ★4.55 · 1 bedroom · 2 beds · 1 bath,914691,Klaus,,Au-Haidhausen,48.126277923583984,11.579534530639648,Entire home/apt,65,2,223,2023-06-11,1.56,2,252,31,
